dt,bat_v,dht_h,dht_t,ref_v,therm_v,out_v,in_v
20251223T220239,4.232, 20.0, 38.0,2.405,2.664,2.424,2.444
20251223T220240,4.091, 20.0, 38.0,2.405,2.659,2.414,2.429
20251223T220241,4.161, 20.0, 38.0,2.405,2.659,2.414,2.429
20251223T220243,4.082, 20.0, 38.0,2.405,2.659,2.414,2.429
20251223T220835,4.284, 20.0, 36.0,2.405,2.659,2.424,2.449
20251223T220836,4.152, 20.0, 37.0,2.405,2.654,2.414,2.429
20251223T220838,4.109, 20.0, 37.0,2.405,2.649,2.414,2.429
20251223T220839,4.091, 20.0, 37.0,2.405,2.649,2.414,2.429
20251223T220841,4.082, 20.0, 36.0,2.405,2.654,2.414,2.424
20251223T220843,4.091, 20.0, 36.0,2.405,2.654,2.414,2.424
20251223T220844,4.091, 20.0, 36.0,2.405,2.654,2.419,2.429
20251223T220846,4.205, 20.0, 36.0,2.405,2.649,2.414,2.429
20251223T220847,4.082, 20.0, 36.0,2.405,2.649,2.414,2.429
20251223T220849,4.161, 20.0, 36.0,2.405,2.649,2.419,2.429
20251223T220851,4.196, 20.0, 36.0,2.405,2.649,2.414,2.424
20251223T220852,4.065, 20.0, 35.0,2.405,2.654,2.419,2.429
20251223T220854,4.109, 20.0, 35.0,2.405,2.649,2.414,2.429
20251223T220855,4.073, 20.0, 35.0,2.405,2.649,2.414,2.429
20251223T220857,4.091, 20.0, 37.0,2.405,2.649,2.419,2.429
20251223T220859,4.065, 20.0, 38.0,2.405,2.649,2.419,2.429
20251223T220900,4.082, 20.0, 38.0,2.405,2.649,2.414,2.424
20251223T220902,4.109, 20.0, 37.0,2.405,2.644,2.414,2.429
20251223T220903,4.082, 20.0, 37.0,2.405,2.644,2.414,2.429
20251223T220905,4.073, 20.0, 37.0,2.405,2.644,2.419,2.424
20251223T220907,4.056, 20.0, 36.0,2.405,2.644,2.414,2.429
20251223T220908,4.091, 20.0, 36.0,2.405,2.644,2.419,2.429
20251223T220910,4.152, 20.0, 36.0,2.405,2.644,2.419,2.429
20251223T220911,4.196, 20.0, 36.0,2.405,2.639,2.419,2.429
20251223T220913,4.091, 20.0, 35.0,2.405,2.644,2.419,2.429
20251223T220915,4.073, 20.0, 35.0,2.405,2.644,2.414,2.429
20251223T220916,4.170, 20.0, 35.0,2.405,2.639,2.414,2.429
20251223T220918,4.082, 20.0, 35.0,2.405,2.639,2.414,2.429
20251223T220919,4.091, 20.0, 35.0,2.405,2.639,2.414,2.429
20251223T220921,4.082, 20.0, 35.0,2.405,2.639,2.414,2.429
20251223T220923,4.100, 20.0, 35.0,2.405,2.639,2.414,2.429
