dt,bat_v,dht_t,dht_h,ref_v,out_v,therm_v,in_v
20251231T151415,4.223, 23.0, 38.0,2.454,2.418,2.619,2.432
20251231T151416,4.082, 22.0, 37.0,2.454,2.413,2.619,2.418
20251231T151418,4.188, 22.0, 37.0,2.498,2.495,2.715,2.495
20251231T151419,4.100, 22.0, 38.0,2.454,2.408,2.619,2.418
20251231T151415,5.886, 22.0, 38.0,2.488,2.476,2.680,2.476
20251231T151417,5.340, 22.0, 39.0,2.483,2.471,2.675,2.471
20251231T151418,5.402, 22.0, 39.0,2.498,2.495,2.710,2.495
20251231T151419,5.481, 22.0, 39.0,2.483,2.466,2.675,2.471
20251231T151420,5.243, 22.0, 39.0,2.498,2.495,2.710,2.495
20251231T151421,5.481, 22.0, 39.0,2.483,2.471,2.670,2.471
20251231T151422,5.340, 22.0, 39.0,2.498,2.495,2.710,2.495
20251231T151423,5.340, 22.0, 39.0,2.483,2.471,2.675,2.471
20251231T151424,5.349, 22.0, 39.0,2.498,2.500,2.710,2.495
20251231T151425,5.481, 23.0, 39.0,2.483,2.466,2.675,2.471
20251231T151427,5.375, 23.0, 39.0,2.498,2.500,2.710,2.495
20251231T151428,5.340, 23.0, 39.0,2.483,2.466,2.670,2.471
20251231T151429,5.279, 23.0, 39.0,2.498,2.500,2.710,2.495
20251231T151430,5.340, 23.0, 39.0,2.483,2.471,2.670,2.466
20251231T151431,5.296, 23.0, 39.0,2.498,2.500,2.710,2.495
20251231T151432,5.340, 23.0, 39.0,2.483,2.466,2.675,2.471
20251231T151433,5.402, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151434,5.481, 23.0, 39.0,2.483,2.471,2.670,2.471
20251231T151435,5.340, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151437,5.551, 23.0, 39.0,2.483,2.471,2.665,2.471
20251231T151438,5.296, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151439,5.340, 23.0, 39.0,2.483,2.471,2.670,2.466
20251231T151440,5.393, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151441,5.551, 23.0, 39.0,2.483,2.466,2.670,2.471
20251231T151442,5.375, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151443,5.481, 23.0, 39.0,2.483,2.466,2.665,2.466
20251231T151444,5.287, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151445,5.340, 23.0, 39.0,2.483,2.471,2.665,2.471
20251231T151447,5.270, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151448,5.340, 23.0, 39.0,2.483,2.471,2.670,2.466
20251231T151449,5.287, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151450,5.622, 23.0, 39.0,2.483,2.471,2.665,2.466
20251231T151451,5.279, 23.0, 39.0,2.498,2.500,2.710,2.495
20251231T151452,5.340, 23.0, 39.0,2.483,2.466,2.670,2.466
20251231T151453,5.287, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151454,5.481, 23.0, 39.0,2.483,2.466,2.665,2.466
20251231T151455,5.323, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151457,5.340, 23.0, 39.0,2.483,2.466,2.665,2.466
20251231T151458,5.252, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151459,5.340, 23.0, 39.0,2.483,2.466,2.665,2.466
20251231T151500,5.375, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151501,5.481, 23.0, 39.0,2.483,2.466,2.670,2.471
20251231T151502,5.296, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151503,5.340, 23.0, 39.0,2.483,2.466,2.670,2.471
20251231T151504,5.305, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151505,5.340, 23.0, 39.0,2.478,2.461,2.665,2.466
20251231T151507,5.314, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151508,5.481, 23.0, 39.0,2.483,2.466,2.670,2.471
20251231T151509,5.279, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151510,5.340, 23.0, 39.0,2.478,2.466,2.660,2.461
20251231T151511,5.314, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151512,5.481, 23.0, 39.0,2.483,2.466,2.665,2.466
20251231T151513,5.393, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151514,5.481, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151515,5.375, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151516,5.340, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151518,5.305, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151519,5.481, 23.0, 39.0,2.478,2.461,2.665,2.466
